Link,Volume Text
Volume 125/98-5/99,"Humanist.Archives.Vol.12 by subjectHumanist.Archives.Vol.12 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 07 May 1998 - 18:37:05 EDTEnding: Thu 06 May 1999 - 14:29:39 EDTMessages: 617 (no subject) Humanist Discussion Group Fri, 12 Jun 1998 06:38:53 +0100 (BST) 12.0001 one more than ten Humanist Discussion Group Thu, 7 May 1998 23:38:05 +0100 (BST) 12.0002 oops! Humanist Discussion Group Thu, 7 May 1998 23:38:37 +0100 (BST) 12.0003 SURFACES on WWW Humanist Discussion Group Fri, 8 May 1998 22:40:35 +0100 (BST) 12.0004 text for analysis; content-analysis software Humanist Discussion Group Fri, 8 May 1998 22:42:35 +0100 (BST) 12.0005 job Humanist Discussion Group Fri, 8 May 1998 22:41:53 +0100 (BST) 12.0006 rich discussion Humanist Discussion Group Fri, 8 May 1998 22:41:19 +0100 (BST) 12.0007 conference on tech & foreign language teaching Humanist Discussion Group Fri, 8 May 1998 22:39:02 +0100 (BST)"
Volume 135/99-5/00,"Humanist.Archives.Vol.13: By SubjectHumanist.Archives.Vol.13By Subject570 messages sorted by:[ author ][ date ][ thread ]Starting: Fri May 07 1999 - 06:44:29 CUTEnding: Thu May 04 2000 - 05:39:53 CUT(no subject)Humanist Discussion Group (Thu Dec 02 1999 - 23:04:37 CUT)Humanist Discussion Group (Wed Nov 24 1999 - 17:48:07 CUT)13.0001 HAPPY now we are 12 BIRTHDAYHumanist Discussion Group (Fri May 07 1999 - 06:29:05 CUT)13.0002 TEI & the Gadfly's buzzHumanist Discussion Group (Fri May 07 1999 - 06:30:03 CUT)13.0003 TEI, gadfly & the individual scholarHumanist Discussion Group (Sun May 09 1999 - 21:43:18 CUT)13.0004 TEI, gadflies, commentatorsHumanist Discussion Group (Wed May 12 1999 - 17:18:11 CUT)13.0005 conferencesHumanist Discussion Group (Wed May 12 1999 - 17:17:20 CUT)13.0006 Imaging, Visualization and Humanities ResearchHumanist Discussion Group (Wed May 12 1999 - 17:16:54 CUT)13.0007 On-line teaching; ELRA newsHumanist Discussion Group (Wed May 12 1"
Volume 145/00-5/01,"Humanist.Archives.Vol.14: By SubjectHumanist.Archives.Vol.14By Subject739 messages sorted by:[ author ][ date ][ thread ]Starting: Sun May 07 2000 - 10:59:13 EDTEnding: Sat May 05 2001 - 01:36:21 EDT14.0001 HAPPY now we are 13 BIRTHDAYHumanist Discussion Group (Sun May 07 2000 - 14:54:49 EDT)14.0002 online literatureHumanist Discussion Group (Sun May 07 2000 - 14:55:46 EDT)14.0003 HAN conferenceHumanist Discussion Group (Sun May 07 2000 - 14:56:46 EDT)14.0005 ALLC/ACH registration; CIMI WorkshopHumanist Discussion Group (Tue May 09 2000 - 02:55:44 EDT)14.0006 Humanist's birthdayHumanist Discussion Group (Tue May 09 2000 - 02:59:00 EDT)14.0007 downstream from PanofskyHumanist Discussion Group (Tue May 09 2000 - 02:56:29 EDT)14.0008 2nd language misspelling?Humanist Discussion Group (Tue May 09 2000 - 02:58:11 EDT)14.0009 Stanford humanities lab for collaborative effortsHumanist Discussion Group (Tue May 09 2000 - 23:55:40 EDT)14.0010 'The 10,000-year Libr"
Volume 155/01-5/02,Humanist.Archives.Vol.15: By SubjectHumanist.Archives.Vol.15By Subject600 messages sorted by:[ author ][ date ][ thread ]Starting: Mon May 07 2001 - 04:18:54 EDTEnding: Mon May 06 2002 - 06:18:36 EDT15.001 HAPPY now we are 14 BIRTHDAYby way of Willard McCarty (Mon May 07 2001 - 04:13:04 EDT)15.002 methodological response: hypertextby way of Willard McCarty (Mon May 07 2001 - 04:13:51 EDT)15.003 stylometrics? discussion group? movie control?by way of Willard McCarty (Mon May 07 2001 - 04:15:19 EDT)15.004 new bookby way of Willard McCarty (Wed May 09 2001 - 02:35:25 EDT)15.005 Clifford Lynch at the ALA on Ebooksby way of Willard McCarty (Wed May 09 2001 - 02:36:05 EDT)15.006 methodological response: hypertextby way of Willard McCarty (Wed May 09 2001 - 02:36:33 EDT)15.007 movie controlby way of Willard McCarty (Wed May 09 2001 - 02:36:47 EDT)15.008 old into new: how?by way of Willard McCarty (Wed May 09 2001 - 02:40:29 EDT)15.009 HUMBUL history & philosoph
Volume 165/02-5/03,Humanist.Archives.Vol.16: By SubjectHumanist.Archives.Vol.16By Subject658 messages sorted by:[ author ][ date ][ thread ]Starting: Tue May 07 2002 - 02:05:10 EDTEnding: Tue May 06 2003 - 03:53:32 EDT16.001 Happy 15th Birthday!Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:45:18 EDT)16.002 Lyman Award to Jerome McGannHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:24 EDT)16.003 cultural divisionsHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:58 EDT)16.004 Archiving the Avant GardeHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:59 EDT)16.005 OCR and handwritingHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:48:21 EDT)16.006 violations of copyrightHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:33 EDT)16.007 Urgent Business Proposals and the Ontario Provincial PoliceHumanist Discus
Volume 175/03-5/04,"""Humanist: By Subject""HumanistBy Subject826 messages sorted by:[ author ][ date ][ thread ]Starting: Wed May 07 2003 - 19:25:05 EDTEnding: Mon May 10 2004 - 10:23:00 EDT17.001 Happy Sweet 16Humanist Discussion Group (by way of Willard McCarty  (Wed May 07 2003 - 19:18:33 EDT)17.003 Mentoring in humanities computingHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:51:39 EDT)17.004 gray literature, papryologically definedHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:52:38 EDT)17.005 POS tagging for Latin, consumptively viewedHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:53:20 EDT)17.006 new on WWW: Ubiquity 4.11; LLC 17.4 table of contentsHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:54:06 EDT)17.007 new booksHumanist Discussion Group (by way of Willard McCarty  (Sat May 10 2003 - 01:51:15 EDT)17.008 conference; call for proposalsHumanist Discus"
Volume 185/04-5/05,"""Humanist: by subject""Humanist by subject754 messages: Starting Mon May 10 2004 - 16:15:29 EDT, Ending Fri May 06 2005 - 02:47:28 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]18.001 HAPPY 17th BIRTHDAYHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:15:36 EDT)18.002 ACLS Commission meetingHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:15:53 EDT)18.003 smart medicines?Humanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:01 EDT)18.004 Lyman Award to Robert K. Englundby way of Willard McCarty (Mon May 10 2004 - 16:16:08 EDT)18.006 smart medicinesHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:14 EDT)18.007 mathematicsHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:23 EDT)18.008 scholarships for summer instituteHumanist Discussion Group (by way of Willard McCarty  (Mon May "
Volume 195/05-5/06,"Humanist Archives Vol. 19 : by subjectHumanist Archives Vol. 19  by subject735 messages: Starting Sat May 07 2005 - 18:23:39 EDT, Ending Fri May 05 2006 - 02:23:41 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ](put editor) recent neglectWillard McCarty (Sat Jul 02 2005 - 05:16:53 EDT)19.001 Happy 18th birthday to HumanistHumanist Discussion Group (by way of Willard McCarty                (Sat May 07 2005 - 18:14:31 EDT)19.002 digital library fellows at Illinois (Urbana-Champaigne)Humanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:04:15 EDT)19.003 methodology of surveyingHumanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:04:57 EDT)19.004 text-analysis in the (Canadian) newsHumanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:08:24 EDT)19.005 conferences (non-Canadian)Humanist Discussion Group (by way of "
Volume 205/06-5/07,"Humanist Archives Vol. 20 : by subjectHumanist Archives Vol. 20  by subject594 messages: Starting Sun May 07 2006 - 08:00:20 EDT, Ending Mon May 07 2007 - 05:46:58 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]20.001 Happy 19th Birthday to HumanistHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:36:40 EDT)20.002 symposium: The Computer: The Once and Future Medium for the Social Sciences & the HumanitiesHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:37:39 EDT)20.003 being methodical in Latin philologyHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:45:15 EDT)20.004 birthday message: wrong metaphor; an interesting projectHumanist Discussion Group (by way of Willard McCarty                (Tue May 09 2006 - 01:44:08 EDT)20.005 eventsHumanist Discussion Group (by way of Willard McCarty                "
Volume 215/07-2/08,"Humanist Archives Vol. 21 : by subjectHumanist Archives Vol. 21  by subject535 messages: Starting Mon May 07 2007 - 11:48:22 EDT, Ending Tue Feb 12 2008 - 01:11:10 ESTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]20.031 ACH Young Scholar Bursaries, DH2007Humanist Discussion Group (by way of Willard McCarty                (Mon May 21 2007 - 01:41:01 EDT)21.001 Humanist's 20th!Willard McCarty (Mon May 07 2007 - 11:46:39 EDT)21.002 apologiesHumanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:36:10 EDT)21.003 new publication: ""Image (&) Narrative""Humanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:38:48 EDT)21.004 child care at DH2007Humanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:47:23 EDT)21.005 events many and variousHumanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 1"
