Link,Volume Text
Volume 25/88-5/89,"Humanist Archives Vol. 2 by subjectHumanist Archives Vol. 2 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Tue 10 Jan 1989 - 20:25:56 EDTEnding: Tue 03 Jun 1997 - 01:08:60 EDTMessages: 487 ""category theory"" and more (22) Willard McCarty Sun, 2 Apr 89 13:53:39 EDT ""censorship"" at Stanford (25) Willard McCarty Mon, 13 Mar 89 19:46:25 EST ""resend"" again (87) Willard McCarty Tue, 25 Apr 89 22:46:15 EDT ""resend"" and e-style (181) Willard McCarty Mon, 24 Apr 89 21:27:15 EDT ""resend"", cont. (42) Willard McCarty Thu, 27 Apr 89 20:46:40 EDT ""resend"", cont. (53) Willard McCarty Wed, 26 Apr 89 20:19:24 EDT ""resend"", the agenbite of inwit (19) Willard McCarty Sat, 29 Apr 89 00:54:42 EDT ""resend""; on ""using"" women (82) Willard McCarty Sun, 23 Apr 89 20:29:58 EDT 18C: conference (22) Willard McCarty Mon, 30 Jan 89 21:02:34 EST 18C: eighteenth century studies and Bitnet (32) Willard McCarty Thu, 6 Apr 89 19:28"
Volume 35/89-5/90,"Humanist Archives Vol. 3  by subjectHumanist Archives Vol. 3  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Wed 10 May 1989 - 00:11:12 EDTEnding: Mon 12 Jan 1998 - 09:06:60 EDTMessages: 1353 (no subject)  (no date) 2.1224 Sci-fi and cyber-worries (78) Willard McCarty Tue, 27 Mar 90 20:32:12 EST 2.306 converting to/from NB? Hungarian Mac? (44) Willard McCarty Tue, 4 Jul 89 18:53:18 EDT 3.10 Shakespeareans: Rose Theatre excavation (68) Willard McCarty Mon, 8 May 89 20:10:15 EDT 3.100 parvitude; laptops; Koran (74) Willard McCarty Tue, 6 Jun 89 21:12:52 EDT 3.1000 professional societies, cont. (137) Willard McCarty Fri, 2 Feb 90 20:42:29 EST 3.1001 best wishes (58) Willard McCarty Fri, 2 Feb 90 21:05:50 EST 3.1002 SGML; hanzi; pingpong; bibliographic managers  (105) Willard McCarty Mon, 5 Feb 90 20:43:39 EST 3.1003 address? e-Schulze? (43) Willard McCarty Mon, 5 Feb 90 20:45:38 EST 3.1004 ideal work"
Volume 45/90-5/91,"Humanist Archives Vol. 4  by subjectHumanist Archives Vol. 4  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 10 May 1990 - 16:30:21 EDTEnding: Wed 11 Feb 1998 - 09:05:60 EDTMessages: 1319 4.0001   Happy Birthday Humanist  (10) Elaine Brennan & Allen Renear Mon, 7 May 90 18:20:23 EDT 4.0002  Thinking about computers  (166) Elaine Brennan & Allen Renear Mon, 7 May 90 18:31:43 EDT 4.0003  More Golems  (33) Elaine Brennan & Allen Renear Mon, 7 May 90 20:01:49 EDT 4.0004  Bibliographic Software  (122) Elaine Brennan & Allen Renear Mon, 7 May 90 20:08:40 EDT 4.0005  Gender and Language  (59) Elaine Brennan & Allen Renear Mon, 7 May 90 20:17:57 EDT 4.0006  Queries (97) Elaine Brennan & Allen Renear Mon, 7 May 90 20:27:43 EDT 4.0007  Oxford Text Archive Shortlists on the Fileserver  (44) Elaine Brennan & Allen Renear Mon, 7 May 90 21:06:54 EDT 4.0008  Euphemisms;  'Computer' in Chinese and Japanese  (25) El"
Volume 55/91-5/92,"Humanist Archives Vol. 5  by subjectHumanist Archives Vol. 5  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 10 May 1991 - 11:15:08 EDTEnding: Wed 11 Feb 1998 - 08:07:60 EDTMessages: 867 5.0001  Volume 1, Number 1  (1/3) Elaine Brennan & Allen Renear Tue, 7 May 91 23:13:52 EDT 5.0002  Scholar's Tools  (1/15) Elaine Brennan & Allen Renear Tue, 7 May 91 23:14:57 EDT 5.0003  Syntactic Parser for Greek; TeX IPA font  (2/55) Elaine Brennan & Allen Renear Tue, 7 May 91 23:18:37 EDT 5.0004  Humanities Programming Course  (1/48) Elaine Brennan & Allen Renear Tue, 7 May 91 23:20:53 EDT 5.0005  Qs: Moliere E-Texts; Patristic Latin/CD-ROM  (2/22) Elaine Brennan & Allen Renear Tue, 7 May 91 23:23:52 EDT 5.0006  Greek Font Software  (1/12) Elaine Brennan & Allen Renear Tue, 7 May 91 23:31:25 EDT 5.0007  Copyright III  (1/174) Elaine Brennan & Allen Renear Tue, 7 May 91 23:35:52 EDT 5.0008  Missing Copyrights    (1"
Volume 65/92-5/93,"Humanist Archives Vol. 6  by subjectHumanist Archives Vol. 6  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Sun 10 May 1992 - 00:00:-1540 EDTEnding: Sun 01 Feb 1998 - 09:08:60 EDTMessages: 740 6.0001  Humanist's Birthday  (1/53) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:34:20 EDT 6.0002  EQs:  E-Lists; E-Text Legalities; Text Retrieval (3/78) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:43:30 EDT 6.0003  As:  E-Faerie Queen, MLA on OCLC, E-Course  (3/79) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:44:17 EDT 6.0004  Rs: String, Word Cruncher, Texts on CD-ROM, etc. (5/78) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:46:42 EDT 6.0005  E-Journal Conference  (1/48) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:48:36 EDT 6.0006  Qs: ""Steward"", Ethics, Surfaces, Grad Programs  (4/81) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:50:38 EDT 6.0007  Responses to Humanist's Birthday   (2"
Volume 75/93-5/94,"Humanist Archives Vol. 7  by subjectHumanist Archives Vol. 7  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Tue 11 May 1993 - 14:53:51 EDTEnding: Fri 02 Jan 1998 - 02:08:60 EDTMessages: 643 7.0001  On Gopher and Copyright and Variant Texts  (4/132) Elaine Brennan Tue, 11 May 1993 14:53:51 EDT 7.0002  Information Technology and Questions for Humanists Elaine Brennan Tue, 11 May 1993 14:56:43 EDT 7.0003  ARL Directory of E-Publications  (1/134) Elaine Brennan Tue, 11 May 1993 14:59:43 EDT 7.0004  R: Literacy; Memory; Legend; Writing  (1/70) Elaine Brennan Tue, 11 May 1993 23:24:13 EDT 7.0005  New List: Italian Language and Culture  (1/38) Elaine Brennan Tue, 11 May 1993 23:25:20 EDT 7.0006  Modelling    (1/33) Elaine Brennan Mon, 17 May 1993 17:29:45 EDT 7.0007  Memory Hard and Soft  (1/101) Elaine Brennan Mon, 17 May 1993 17:39:38 EDT 7.0008  Conf: Computerised Learning (London)  (1/95) Elaine Brennan M"
Volume 85/94-5/95,"Humanist Archives Vol. 8  by subjectHumanist Archives Vol. 8  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 13 May 1994 - 21:45:23 EDTEnding: Fri 02 Jan 1998 - 01:08:60 EDTMessages: 484 8.0001  Rs: Landscape (2);  StorySpace for Windows (2)  (4/143) Elaine Brennan Sun, 8 May 1994 17:06:37 EDT 8.0002  Q: E-Emily Dickinson?  (1/18) Elaine Brennan Sun, 8 May 1994 17:08:37 EDT 8.0002  R: Workshops for Humanities Faculty  (1/24) Elaine Brennan Sun, 8 May 1994 17:07:09 EDT 8.0003  Making Computers Accessible   (1/144) Elaine Brennan Fri, 13 May 1994 21:45:23 EDT 8.0004  Humanities Computing Course Material Archive  (1/88) Elaine Brennan Fri, 13 May 1994 21:48:22 EDT 8.0005  Rs: Landscape; Hyptertext Software  (2/22) Elaine Brennan Fri, 13 May 1994 21:49:41 EDT 8.0006  CFP Post-COLING Lexical Workshop  (1/306) Elaine Brennan Fri, 13 May 1994 21:50:44 EDT 8.0007  Qs: E-Music Semiotics; Fonts  (2/22)_ Elain"
Volume 95/95-5/96,"Humanist Archives Vol. 9  by subjectHumanist Archives Vol. 9  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Mon 15 May 1995 - 10:53:29 EDTEnding: Mon 14 Jul 1997 - 02:08:60 EDTMessages: 745 /u/mccarty/mail/monday.digest (fwd) Willard McCarty Mon, 14 Aug 1995 08:22:59 -0400 (EDT) 25th Medieval Workshop - University of British Columbia Christopher G. Fox Thu, 19 Oct 1995 16:38:52 -0400 9.0001  Roundtable: Humanists in 2010  (1/74) Elaine Brennan Sun, 7 May 1995 14:03:30 EDT 9.0002  Web Sites: Cultural Studies; Spenser; NT MSS  (3/86) Elaine Brennan Sun, 7 May 1995 14:07:51 EDT 9.0003  Rs: Latin; ClipArt; AOL; E-Dickens; Sesame  (8/122) Elaine Brennan Sun, 7 May 1995 14:15:26 EDT 9.0004  Call for Papers: Reception of Classical Texts  (1/65) Elaine Brennan Sun, 7 May 1995 14:17:35 EDT 9.0005  Qs: OCR Software; Qualitative v. Quantitative; Computing Elaine Brennan Sun, 7 May 1995 14:18:31 EDT 9.0006  New Issu"
Volume 105/96-5/97,"Humanist Archives Vol. 10  by subjectHumanist Archives Vol. 10  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 01 Nov 1996 - 00:00:-35730 EDTEnding: Mon 05 May 1997 - 17:24:04 EDTMessages: 537 **sign of life** Humanist Mon, 30 Dec 1996 08:30:56 -0500 (EST) 10.0383 books & Fowler et al. on reading WILLARD MCCARTY Fri, 1 Nov 1996 18:57:17 +0000 (GMT) 10.0384 effects of e-communication? WILLARD MCCARTY Fri, 1 Nov 1996 18:58:51 +0000 (GMT) 10.0385 WWW gems WILLARD MCCARTY Fri, 1 Nov 1996 18:59:52 +0000 (GMT) 10.0386 SGML '96 WILLARD MCCARTY Fri, 1 Nov 1996 18:55:33 +0000 (GMT) 10.0387 effects of e-communication WILLARD MCCARTY Mon, 4 Nov 1996 19:34:52 +0000 (GMT) 10.0388 WWW search tools WILLARD MCCARTY Mon, 4 Nov 1996 19:36:49 +0000 (GMT) 10.0389 conferences WILLARD MCCARTY Mon, 4 Nov 1996 19:34:18 +0000 (GMT) 10.0390 SGML '96: when is it? WILLARD MCCARTY Mon, 4 Nov 1996 19:36:15 +0000 (GMT) 10.0"
Volume 115/97-5/98,"Humanist.Archives.Vol.11 by subjectHumanist.Archives.Vol.11 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 08 May 1997 - 16:51:59 CUTEnding: Sat 04 Sep 1999 - 04:33:18 CUTMessages: 680 (no subject) Humanist Discussion Group Wed, 24 Dec 1997 14:18:26 +0000 (GMT) Humanist Discussion Group Wed, 17 Dec 1997 20:10:29 +0000 (GMT) Humanist Discussion Group Tue, 21 Oct 1997 22:16:32 +0100 (BST) 11. 0644 Workshops Humanist Discussion Group Sat, 14 Mar 1998 19:15:05 +0000 (GMT) 11.0006 spamming Humanist Discussion Group Thu, 8 May 1997 21:38:16 +0100 (BST) 11.0007 online Humanist Discussion Group Thu, 8 May 1997 21:36:46 +0100 (BST) 11.0008 birthday wishes Humanist Discussion Group Thu, 8 May 1997 21:35:38 +0100 (BST) 11.0009 Arachnet? MLA Bibliography? Humanist Discussion Group Thu, 8 May 1997 21:37:37 +0100 (BST) 11.0010 Virtual Macbeth Humanist Discussion Group Thu, 8 May 1997 21:36:14 +0100 (BST) 11.0"
Volume 125/98-5/99,"Humanist.Archives.Vol.12 by subjectHumanist.Archives.Vol.12 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 07 May 1998 - 18:37:05 EDTEnding: Thu 06 May 1999 - 14:29:39 EDTMessages: 617 (no subject) Humanist Discussion Group Fri, 12 Jun 1998 06:38:53 +0100 (BST) 12.0001 one more than ten Humanist Discussion Group Thu, 7 May 1998 23:38:05 +0100 (BST) 12.0002 oops! Humanist Discussion Group Thu, 7 May 1998 23:38:37 +0100 (BST) 12.0003 SURFACES on WWW Humanist Discussion Group Fri, 8 May 1998 22:40:35 +0100 (BST) 12.0004 text for analysis; content-analysis software Humanist Discussion Group Fri, 8 May 1998 22:42:35 +0100 (BST) 12.0005 job Humanist Discussion Group Fri, 8 May 1998 22:41:53 +0100 (BST) 12.0006 rich discussion Humanist Discussion Group Fri, 8 May 1998 22:41:19 +0100 (BST) 12.0007 conference on tech & foreign language teaching Humanist Discussion Group Fri, 8 May 1998 22:39:02 +0100 (BST)"
Volume 135/99-5/00,"Humanist.Archives.Vol.13: By SubjectHumanist.Archives.Vol.13By Subject570 messages sorted by:[ author ][ date ][ thread ]Starting: Fri May 07 1999 - 06:44:29 CUTEnding: Thu May 04 2000 - 05:39:53 CUT(no subject)Humanist Discussion Group (Thu Dec 02 1999 - 23:04:37 CUT)Humanist Discussion Group (Wed Nov 24 1999 - 17:48:07 CUT)13.0001 HAPPY now we are 12 BIRTHDAYHumanist Discussion Group (Fri May 07 1999 - 06:29:05 CUT)13.0002 TEI & the Gadfly's buzzHumanist Discussion Group (Fri May 07 1999 - 06:30:03 CUT)13.0003 TEI, gadfly & the individual scholarHumanist Discussion Group (Sun May 09 1999 - 21:43:18 CUT)13.0004 TEI, gadflies, commentatorsHumanist Discussion Group (Wed May 12 1999 - 17:18:11 CUT)13.0005 conferencesHumanist Discussion Group (Wed May 12 1999 - 17:17:20 CUT)13.0006 Imaging, Visualization and Humanities ResearchHumanist Discussion Group (Wed May 12 1999 - 17:16:54 CUT)13.0007 On-line teaching; ELRA newsHumanist Discussion Group (Wed May 12 1"
Volume 145/00-5/01,"Humanist.Archives.Vol.14: By SubjectHumanist.Archives.Vol.14By Subject739 messages sorted by:[ author ][ date ][ thread ]Starting: Sun May 07 2000 - 10:59:13 EDTEnding: Sat May 05 2001 - 01:36:21 EDT14.0001 HAPPY now we are 13 BIRTHDAYHumanist Discussion Group (Sun May 07 2000 - 14:54:49 EDT)14.0002 online literatureHumanist Discussion Group (Sun May 07 2000 - 14:55:46 EDT)14.0003 HAN conferenceHumanist Discussion Group (Sun May 07 2000 - 14:56:46 EDT)14.0005 ALLC/ACH registration; CIMI WorkshopHumanist Discussion Group (Tue May 09 2000 - 02:55:44 EDT)14.0006 Humanist's birthdayHumanist Discussion Group (Tue May 09 2000 - 02:59:00 EDT)14.0007 downstream from PanofskyHumanist Discussion Group (Tue May 09 2000 - 02:56:29 EDT)14.0008 2nd language misspelling?Humanist Discussion Group (Tue May 09 2000 - 02:58:11 EDT)14.0009 Stanford humanities lab for collaborative effortsHumanist Discussion Group (Tue May 09 2000 - 23:55:40 EDT)14.0010 'The 10,000-year Libr"
Volume 155/01-5/02,Humanist.Archives.Vol.15: By SubjectHumanist.Archives.Vol.15By Subject600 messages sorted by:[ author ][ date ][ thread ]Starting: Mon May 07 2001 - 04:18:54 EDTEnding: Mon May 06 2002 - 06:18:36 EDT15.001 HAPPY now we are 14 BIRTHDAYby way of Willard McCarty (Mon May 07 2001 - 04:13:04 EDT)15.002 methodological response: hypertextby way of Willard McCarty (Mon May 07 2001 - 04:13:51 EDT)15.003 stylometrics? discussion group? movie control?by way of Willard McCarty (Mon May 07 2001 - 04:15:19 EDT)15.004 new bookby way of Willard McCarty (Wed May 09 2001 - 02:35:25 EDT)15.005 Clifford Lynch at the ALA on Ebooksby way of Willard McCarty (Wed May 09 2001 - 02:36:05 EDT)15.006 methodological response: hypertextby way of Willard McCarty (Wed May 09 2001 - 02:36:33 EDT)15.007 movie controlby way of Willard McCarty (Wed May 09 2001 - 02:36:47 EDT)15.008 old into new: how?by way of Willard McCarty (Wed May 09 2001 - 02:40:29 EDT)15.009 HUMBUL history & philosoph
Volume 165/02-5/03,Humanist.Archives.Vol.16: By SubjectHumanist.Archives.Vol.16By Subject658 messages sorted by:[ author ][ date ][ thread ]Starting: Tue May 07 2002 - 02:05:10 EDTEnding: Tue May 06 2003 - 03:53:32 EDT16.001 Happy 15th Birthday!Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:45:18 EDT)16.002 Lyman Award to Jerome McGannHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:24 EDT)16.003 cultural divisionsHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:58 EDT)16.004 Archiving the Avant GardeHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:59 EDT)16.005 OCR and handwritingHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:48:21 EDT)16.006 violations of copyrightHumanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:33 EDT)16.007 Urgent Business Proposals and the Ontario Provincial PoliceHumanist Discus
Volume 175/03-5/04,"""Humanist: By Subject""HumanistBy Subject826 messages sorted by:[ author ][ date ][ thread ]Starting: Wed May 07 2003 - 19:25:05 EDTEnding: Mon May 10 2004 - 10:23:00 EDT17.001 Happy Sweet 16Humanist Discussion Group (by way of Willard McCarty  (Wed May 07 2003 - 19:18:33 EDT)17.003 Mentoring in humanities computingHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:51:39 EDT)17.004 gray literature, papryologically definedHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:52:38 EDT)17.005 POS tagging for Latin, consumptively viewedHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:53:20 EDT)17.006 new on WWW: Ubiquity 4.11; LLC 17.4 table of contentsHumanist Discussion Group (by way of Willard McCarty  (Thu May 08 2003 - 01:54:06 EDT)17.007 new booksHumanist Discussion Group (by way of Willard McCarty  (Sat May 10 2003 - 01:51:15 EDT)17.008 conference; call for proposalsHumanist Discus"
Volume 185/04-5/05,"""Humanist: by subject""Humanist by subject754 messages: Starting Mon May 10 2004 - 16:15:29 EDT, Ending Fri May 06 2005 - 02:47:28 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]18.001 HAPPY 17th BIRTHDAYHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:15:36 EDT)18.002 ACLS Commission meetingHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:15:53 EDT)18.003 smart medicines?Humanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:01 EDT)18.004 Lyman Award to Robert K. Englundby way of Willard McCarty (Mon May 10 2004 - 16:16:08 EDT)18.006 smart medicinesHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:14 EDT)18.007 mathematicsHumanist Discussion Group (by way of Willard McCarty  (Mon May 10 2004 - 16:16:23 EDT)18.008 scholarships for summer instituteHumanist Discussion Group (by way of Willard McCarty  (Mon May "
Volume 195/05-5/06,"Humanist Archives Vol. 19 : by subjectHumanist Archives Vol. 19  by subject735 messages: Starting Sat May 07 2005 - 18:23:39 EDT, Ending Fri May 05 2006 - 02:23:41 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ](put editor) recent neglectWillard McCarty (Sat Jul 02 2005 - 05:16:53 EDT)19.001 Happy 18th birthday to HumanistHumanist Discussion Group (by way of Willard McCarty                (Sat May 07 2005 - 18:14:31 EDT)19.002 digital library fellows at Illinois (Urbana-Champaigne)Humanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:04:15 EDT)19.003 methodology of surveyingHumanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:04:57 EDT)19.004 text-analysis in the (Canadian) newsHumanist Discussion Group (by way of Willard McCarty                (Mon May 09 2005 - 15:08:24 EDT)19.005 conferences (non-Canadian)Humanist Discussion Group (by way of "
Volume 205/06-5/07,"Humanist Archives Vol. 20 : by subjectHumanist Archives Vol. 20  by subject594 messages: Starting Sun May 07 2006 - 08:00:20 EDT, Ending Mon May 07 2007 - 05:46:58 EDTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]20.001 Happy 19th Birthday to HumanistHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:36:40 EDT)20.002 symposium: The Computer: The Once and Future Medium for the Social Sciences & the HumanitiesHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:37:39 EDT)20.003 being methodical in Latin philologyHumanist Discussion Group (by way of Willard McCarty                (Sun May 07 2006 - 07:45:15 EDT)20.004 birthday message: wrong metaphor; an interesting projectHumanist Discussion Group (by way of Willard McCarty                (Tue May 09 2006 - 01:44:08 EDT)20.005 eventsHumanist Discussion Group (by way of Willard McCarty                "
Volume 215/07-2/08,"Humanist Archives Vol. 21 : by subjectHumanist Archives Vol. 21  by subject535 messages: Starting Mon May 07 2007 - 11:48:22 EDT, Ending Tue Feb 12 2008 - 01:11:10 ESTsort by: [ thread ] [ author ] [ date ] [ subject ] [ attachment ]20.031 ACH Young Scholar Bursaries, DH2007Humanist Discussion Group (by way of Willard McCarty                (Mon May 21 2007 - 01:41:01 EDT)21.001 Humanist's 20th!Willard McCarty (Mon May 07 2007 - 11:46:39 EDT)21.002 apologiesHumanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:36:10 EDT)21.003 new publication: ""Image (&) Narrative""Humanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:38:48 EDT)21.004 child care at DH2007Humanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 16:47:23 EDT)21.005 events many and variousHumanist Discussion Group (by way of Willard McCarty                (Tue May 08 2007 - 1"
